"WHSE","YEAR","MONTH","WEEK","DATE","DEPT_WORKED","CORE_PROCESS","SKU_CLASS","STD_TIME","ACTUAL_TIME","INDIRECT_TIME","ONSTD_TIME","WEIGHT","CUBE","CARTONS","PALLET","LINES","TRAILER_CHURN","EFF","WEIGHT_PH","CUBE_PH","CARTONS_PH","PALLET_PH","LINES_PH","TRAILER_PH","CUBE_PER_LINE","CUBE_PER_TRAILER"
5,22,1,1,2022-01-02,"INBOUND","RECEIVING","OFFSHORE",123.6,182.28,19.28,156.58,242302.47,19357.97,26833.23,16634,9160,45,78.94,1329.29,106.2,147.21,91.26,50.25,0.25,2.11,430.18
5,22,1,1,2022-01-02,"INBOUND","RECEIVING","DOMESTIC",33.23,54.72,6.63,46.43,97749.69,6697.02,5097.5,1307,344,29,71.57,1786.36,122.39,93.16,23.89,6.29,0.53,19.47,230.93
5,22,1,1,2022-01-03,"INBOUND","RECEIVING","OFFSHORE",204.97,287,25.58,247.15,333906.72,25766.58,40783.23,26063,16547,14,82.93,1163.44,89.78,142.1,90.81,57.66,0.05,1.56,1840.47
5,22,1,1,2022-01-03,"INBOUND","RECEIVING","DOMESTIC",75.57,57.12,7.45,49.78,147934.49,7306.58,7886,1290,283,9,151.81,2589.89,127.92,138.06,22.58,4.95,0.16,25.82,811.84
5,22,1,1,2022-01-04,"INBOUND","RECEIVING","OFFSHORE",198.66,234.72,21.25,202.98,275273.53,22171.48,26246.23,19555.5,12772,11,97.87,1172.77,94.46,111.82,83.31,54.41,0.05,1.74,2015.59
5,22,1,1,2022-01-04,"INBOUND","RECEIVING","DOMESTIC",56.44,60.67,0.33,52.25,120170.89,7075.97,8285.5,1591,366,30,108.02,1980.73,116.63,136.57,26.22,6.03,0.49,19.33,235.87
5,22,1,1,2022-01-05,"INBOUND","RECEIVING","OFFSHORE",185.35,232.72,8.15,204.03,305992.63,25734.94,28743.56,26685,14666,10,90.84,1314.85,110.58,123.51,114.67,63.02,0.04,1.75,2573.49
5,22,1,1,2022-01-05,"INBOUND","RECEIVING","DOMESTIC",70.14,71.68,2.27,62.35,84656.04,7983.48,5860,1555,297,7,112.49,1181.03,111.38,81.75,21.69,4.14,0.1,26.88,1140.5
5,22,1,1,2022-01-06,"INBOUND","RECEIVING","OFFSHORE",156.29,236.58,8.33,204.48,259542.19,19214.3,23103.01,19641.75,11531.75,6,76.43,1097.06,81.22,97.65,83.02,48.74,0.03,1.67,3202.38
5,22,1,1,2022-01-06,"INBOUND","RECEIVING","DOMESTIC",73.07,63,2.25,55.93,65333.41,6201.29,5165,1570,312,6,130.65,1037.04,98.43,81.98,24.92,4.95,0.1,19.88,1033.55
5,22,1,2,2022-01-07,"INBOUND","RECEIVING","OFFSHORE",209.45,248.37,16.27,212.95,340921.25,24013.15,31413.61,19474,8712,14,98.36,1372.63,96.68,126.48,78.41,35.08,0.06,2.76,1715.23
5,22,1,2,2022-01-07,"INBOUND","RECEIVING","DOMESTIC",98.68,75.78,2.67,64.95,104965.53,12107.42,7154,3958,446,8,151.93,1385.13,159.77,94.4,52.23,5.89,0.11,27.15,1513.43
5,22,1,2,2022-01-08,"INBOUND","RECEIVING","OFFSHORE",151.82,190.5,11.68,164.23,199353.26,18960.32,33165.57,12139,6282,7,92.44,1046.47,99.53,174.1,63.72,32.98,0.04,3.02,2708.62
5,22,1,2,2022-01-08,"INBOUND","RECEIVING","DOMESTIC",49.41,45.32,1.12,39.57,47541.32,3524.74,3504,538,113,3,124.87,1049.01,77.77,77.32,11.87,2.49,0.07,31.19,1174.91
5,22,1,2,2022-01-09,"INBOUND","RECEIVING","OFFSHORE",137.72,186.57,13.63,163.08,201298.06,17517.95,21623.39,12318,6336.67,5,84.45,1078.94,93.89,115.9,66.02,33.96,0.03,2.76,3503.59
5,22,1,2,2022-01-09,"INBOUND","RECEIVING","DOMESTIC",53.63,46.58,0.53,38.98,42774.35,3285.61,3334,515,96,3,137.58,918.3,70.54,71.58,11.06,2.06,0.06,34.23,1095.2
5,22,1,2,2022-01-10,"INBOUND","RECEIVING","OFFSHORE",226.2,275.22,30.15,237.33,319259.51,28263.81,33432.96,23877,13944,10,95.31,1160.02,102.7,121.48,86.76,50.66,0.04,2.03,2826.38
5,22,1,2,2022-01-10,"INBOUND","RECEIVING","DOMESTIC",33.15,45.33,3.5,39.68,64197.99,7967.61,4214,2446,345,7,83.54,1416.24,175.77,92.96,53.96,7.61,0.15,23.09,1138.23
5,22,1,2,2022-01-11,"INBOUND","RECEIVING","OFFSHORE",217.51,298.13,40.25,260.35,372735.5,28328.4,39250,17308,7918.67,11,83.55,1250.24,95.02,131.65,58.06,26.56,0.04,3.58,2575.31
5,22,1,2,2022-01-11,"INBOUND","RECEIVING","DOMESTIC",69.51,76.67,8.05,66.5,107023.21,8131.11,12049,2262,593,11,104.53,1395.89,106.05,157.15,29.5,7.73,0.14,13.71,739.19
5,22,1,2,2022-01-12,"INBOUND","RECEIVING","OFFSHORE",206.5,253.23,6.67,221.98,315964.1,23107.46,29932.22,14481,6265,6,93.03,1247.74,91.25,118.2,57.19,24.74,0.02,3.69,3851.24
5,22,1,2,2022-01-12,"INBOUND","RECEIVING","DOMESTIC",82.15,73.7,0,64.73,138996.25,7647.69,9402,2158,377,3,126.91,1885.97,103.77,127.57,29.28,5.12,0.04,20.29,2549.23
5,22,1,2,2022-01-13,"INBOUND","RECEIVING","OFFSHORE",243.45,245.12,10.77,212.85,268882.04,21538.11,28181.68,14115.5,6993.5,12,114.38,1096.94,87.87,114.97,57.59,28.53,0.05,3.08,1794.84
5,22,1,2,2022-01-13,"INBOUND","RECEIVING","DOMESTIC",138.53,90.2,0.23,79.45,165991.7,11305.72,15549.5,3452.67,519.67,7,174.36,1840.26,125.34,172.39,38.28,5.76,0.08,21.76,1615.1
